frameindex,frametime,cputime,culltime,gputime,draws,tris,
1199,9063.700195,2138.399902,1719.099976,7079.600098,2194,34132120,
1200,9347.799805,2222.199951,1798.300049,7291.399902,2215,34094104,
1201,9109.200195,2180.399902,1753.800049,7090.700195,2237,34547693,
1202,9463.799805,2259.800049,1793.500000,7350.299805,2209,34249304,
1203,9482.900391,2321.500000,1891.599976,7316.000000,2232,31384900,
1204,9168.700195,2142.600098,1709.900024,7171.399902,2218,31088900,
1205,9171.500000,2044.300049,1630.800049,7281.200195,2235,30838724,
1206,9467.799805,2252.199951,1825.500000,7369.299805,2184,30736260,
1207,9369.000000,2115.800049,1704.199951,7397.700195,2224,30795076,
1208,9192.799805,2290.600098,1843.500000,7058.200195,2223,30526436,
1209,9033.000000,2031.000000,1599.099976,7167.600098,2223,30539812,
1210,9158.799805,2223.199951,1790.199951,7086.899902,2218,30374756,
1211,9411.700195,2338.899902,1897.800049,7232.600098,2215,30307748,
1212,9337.200195,2343.500000,1936.400024,7133.700195,2231,30325988,
1213,9217.200195,2140.500000,1723.300049,7216.100098,2183,30310564,
1214,9504.500000,2228.699951,1802.099976,7418.399902,2222,33684460,
1215,9201.799805,2318.399902,1876.400024,7038.299805,2226,33873324,
1216,9438.500000,2289.100098,1849.900024,7320.299805,2242,33857260,
1217,9299.000000,2260.000000,1816.400024,7201.299805,2216,33891500,
1218,9982.799805,2229.199951,1801.400024,7912.100098,2223,33719596,
1219,9145.299805,2124.600098,1727.199951,7164.600098,2216,33790700,
1220,9262.000000,2277.899902,1874.900024,7128.700195,2237,33787820,
1221,9258.200195,2230.800049,1821.099976,7168.200195,2218,33464770,
1222,9339.200195,2357.800049,1868.199951,7145.100098,2263,33432898,
1223,9569.799805,2427.300049,1983.099976,7309.600098,2248,30896782,
1224,9423.500000,2306.100098,1868.800049,7283.100098,2267,30896142,
1225,9635.000000,2269.699951,1811.500000,7532.500000,2257,30911054,
1226,9513.799805,2370.300049,1928.400024,7308.899902,2265,31217422,
1227,9731.400391,2362.600098,1954.199951,7514.899902,2277,31064014,
1228,9742.400391,2207.600098,1781.800049,7695.200195,2279,31420110,
1229,9375.099609,2202.399902,1737.300049,7334.100098,2288,31237454,
1230,9272.599609,2208.300049,1766.199951,7219.100098,2253,31494968,
1231,9168.900391,2141.600098,1697.300049,7192.600098,2279,31876898,
1232,9404.400391,2183.800049,1726.500000,7392.500000,2267,31755234,
1233,9229.900391,2371.100098,1937.599976,7008.299805,2274,31726114,
1234,9108.799805,2031.699951,1620.400024,7229.399902,2300,34594530,
1235,9398.599609,2324.399902,1855.599976,7244.600098,2245,34291128,
1236,9578.000000,2387.399902,1956.199951,7355.100098,2269,34471736,
1237,9598.700195,2258.199951,1811.599976,7503.399902,2272,34331960,
1238,9672.900391,2279.000000,1794.500000,7569.600098,2285,34383032,
1239,9806.400391,2292.100098,1834.099976,7698.899902,2294,33681784,
1240,9487.599609,2229.399902,1789.500000,7422.000000,2286,33329528,
1241,9658.299805,2238.000000,1820.500000,7565.200195,2305,35053692,
