frameindex,frametime,cputime,culltime,gputime,draws,tris,
4808,13967.900391,3446.300049,2664.800049,10801.799805,4771,30950724,
4809,13766.000000,3399.800049,2655.399902,10604.500000,4776,30986708,
4810,14010.000000,3417.000000,2732.500000,10830.000000,4780,30756858,
4811,13864.400391,3390.600098,2654.899902,10737.400391,4758,30619450,
4812,13721.900391,3416.899902,2677.199951,10576.799805,4710,30770639,
4813,13928.099609,3452.500000,2715.800049,10731.500000,4690,31028452,
4814,14180.099609,3433.399902,2696.800049,11020.000000,4693,28443440,
4815,13839.700195,3419.000000,2652.000000,10685.400391,4714,28399728,
4816,13712.299805,3290.199951,2566.800049,10695.900391,4698,28209136,
4817,13968.099609,3348.199951,2647.800049,10861.400391,4689,28099248,
4818,13984.400391,3418.600098,2668.199951,10821.900391,4683,28160048,
4819,13961.200195,3528.699951,2710.800049,10731.900391,4717,28054192,
4820,13857.099609,3345.800049,2591.899902,10772.500000,4680,28061424,
4821,14116.000000,3391.699951,2617.199951,10995.700195,4647,27976976,
4822,13741.099609,3360.899902,2595.800049,10655.799805,4636,27962704,
4823,13857.900391,3380.500000,2574.100098,10756.700195,4620,33891333,
4824,13780.000000,3287.300049,2540.199951,10766.500000,4610,34021680,
4825,13844.000000,3296.600098,2594.199951,10784.400391,4620,34114192,
4826,14106.900391,3321.000000,2564.800049,11032.900391,4586,33656422,
4827,13944.000000,3301.899902,2571.699951,10895.299805,4610,33830054,
4828,13924.500000,3317.000000,2548.100098,10870.900391,4608,36204860,
4829,13708.599609,3250.899902,2559.899902,10705.000000,4573,36282588,
4830,13725.400391,3321.100098,2635.500000,10657.799805,4538,36103772,
4831,13904.200195,3388.399902,2643.300049,10768.700195,4572,38447762,
4832,13899.299805,3370.800049,2578.199951,10806.700195,4540,38201746,
4833,13879.200195,3245.300049,2560.899902,10869.599609,4484,37822354,
4834,14126.599609,3203.899902,2450.399902,11178.200195,4470,37689714,
4835,13948.599609,3293.600098,2576.399902,10895.400391,4445,37863516,
4836,13843.400391,3427.300049,2760.100098,10654.200195,4449,37819484,
4837,13773.200195,3349.399902,2588.699951,10716.200195,4433,37937756,
4838,13854.099609,3298.199951,2588.899902,10830.400391,4432,37962300,
4839,13693.099609,3270.699951,2558.800049,10669.200195,4451,37799996,
4840,13828.900391,3232.899902,2532.300049,10843.099609,4426,37472060,
4841,13948.400391,3282.199951,2571.899902,10924.200195,4456,37596220,
4842,13816.700195,3263.699951,2579.500000,10795.200195,4469,40154832,
4843,14134.900391,3482.500000,2769.600098,10895.799805,4449,40157648,
4844,14158.299805,3254.199951,2571.399902,11133.500000,4437,40189840,
4845,13884.700195,3282.399902,2601.800049,10840.599609,4437,36993862,
4846,13868.000000,3394.399902,2676.000000,10729.200195,4385,37122758,
4847,13931.400391,3229.100098,2494.100098,10966.599609,4399,37580518,
4848,13871.900391,3191.899902,2512.699951,10918.200195,4348,37502118,
4849,13701.400391,3227.000000,2512.199951,10738.500000,4299,34562342,
4850,14073.799805,3224.300049,2524.899902,11087.700195,4289,34578806,
4851,13670.299805,3072.199951,2364.100098,10839.400391,4286,34982608,
4852,13850.400391,3115.199951,2392.899902,11001.200195,4311,37734020,
4853,14033.400391,3137.899902,2449.300049,11139.000000,4270,37576196,
4854,13474.400391,3170.699951,2444.100098,10575.200195,4254,34707472,
4855,13910.599609,3164.699951,2444.300049,11002.299805,4235,34488528,
4856,13780.299805,3077.699951,2365.199951,10963.200195,4221,34532880,
4857,13993.299805,3075.100098,2389.600098,11158.599609,4296,34543952,
4858,13926.200195,3130.199951,2447.100098,11042.799805,4301,34639248,
4859,14059.500000,3109.899902,2390.300049,11196.400391,4296,34650512,
4860,13785.000000,3112.600098,2391.100098,10938.700195,4330,34362960,
4861,13999.799805,3189.699951,2505.800049,11056.299805,4261,34314640,
4862,13631.000000,2997.100098,2299.800049,10899.799805,4233,34086000,
4863,13851.799805,3056.000000,2336.399902,11031.599609,4186,33681862,
4864,13840.000000,3143.699951,2449.199951,10951.500000,4194,34347909,
4865,14034.900391,3059.600098,2352.199951,11221.700195,4208,34240304,
4866,13795.000000,3224.500000,2446.899902,10871.200195,4194,34176176,
4867,14055.200195,3306.300049,2502.899902,11001.299805,4176,34116720,
4868,14222.900391,3163.300049,2451.800049,11298.799805,4148,33702390,
4869,13647.799805,3031.100098,2330.199951,10882.500000,4144,33512998,
4870,13743.599609,3134.500000,2463.000000,10846.000000,4156,34222192,
4871,13765.400391,3032.199951,2353.600098,10975.000000,4168,34391728,
4872,13768.299805,3020.399902,2343.000000,11011.599609,4192,37207588,
4873,14100.599609,3228.100098,2482.300049,11146.900391,4205,37262372,
4874,13938.900391,3042.000000,2314.800049,11177.500000,4181,37683534,
4875,14050.000000,3192.600098,2474.100098,11115.500000,4159,37698574,
4876,13947.099609,3062.600098,2349.199951,11134.299805,4119,37388590,
4877,13964.500000,3103.699951,2375.300049,11113.200195,4155,37389294,
4878,13594.299805,2977.100098,2311.699951,10855.299805,4093,37541230,
4879,13868.500000,3079.000000,2401.199951,11031.400391,4092,37534318,
4880,13996.700195,3185.800049,2491.000000,11044.799805,4075,37575598,
4881,13898.099609,3082.000000,2400.199951,11039.700195,4043,37394414,
4882,13983.099609,3072.600098,2383.100098,11134.799805,4071,40803416,
4883,13896.400391,3140.000000,2446.300049,11012.099609,4123,43708856,
4884,13825.000000,3127.100098,2403.199951,10953.700195,4130,44256354,
4885,13863.099609,3056.899902,2388.500000,11062.700195,4113,44272034,
4886,13833.700195,3056.199951,2333.300049,11011.200195,4110,47365570,
4887,13808.400391,3070.500000,2374.300049,10983.400391,4087,47212546,
4888,13961.000000,3105.699951,2383.399902,11120.000000,4086,47673772,
4889,13972.000000,3045.500000,2364.399902,11161.099609,4041,47184876,
4890,13679.299805,2985.199951,2328.399902,10920.599609,4029,46916428,
4891,13929.200195,3150.899902,2443.399902,11027.799805,3990,47065932,
4892,14091.599609,3115.300049,2393.500000,11214.700195,3996,44072332,
4893,13871.700195,3056.100098,2385.800049,11071.200195,3993,41245592,
4894,14006.599609,3128.899902,2428.699951,11123.000000,3949,41019160,
4895,13716.000000,2907.800049,2300.800049,11032.799805,3908,37835992,
4896,13795.799805,2907.100098,2294.100098,11112.799805,3895,37825560,
4897,13976.400391,3028.899902,2413.600098,11175.099609,3894,37750968,
