frameindex,frametime,cputime,culltime,gputime,draws,tris,
54,13748.900391,2267.199951,1722.199951,11674.599609,1260,28869397,
55,13672.000000,2316.300049,1766.400024,11534.799805,1258,28890133,
56,13670.400391,2312.300049,1822.500000,11536.500000,1267,30270447,
57,13676.599609,2332.800049,1772.400024,11525.000000,1284,28852293,
58,13804.900391,2319.600098,1856.199951,11665.900391,1294,27418469,
59,13735.400391,2331.699951,1840.099976,11575.099609,1282,27402661,
60,13551.400391,2306.699951,1715.699951,11428.099609,1288,28893786,
61,13657.099609,2267.199951,1747.300049,11572.700195,1277,29110319,
62,13671.200195,2304.399902,1776.599976,11559.099609,1276,29148655,
63,13660.900391,2193.500000,1709.300049,11642.200195,1291,29160047,
64,13458.900391,2229.699951,1699.099976,11420.299805,1274,27548175,
65,13170.900391,2159.199951,1621.900024,11203.799805,1294,27639375,
66,13039.200195,2154.699951,1702.699951,11046.799805,1299,27666575,
67,13217.700195,2285.600098,1781.000000,11118.500000,1301,27836580,
68,13528.299805,2281.600098,1770.400024,11424.700195,1289,27765028,
69,13325.200195,2191.699951,1715.699951,11301.000000,1295,27779876,
70,13355.200195,2258.100098,1794.400024,11266.400391,1270,27771492,
71,13245.099609,2286.100098,1814.000000,11128.500000,1274,27801700,
72,13303.299805,2376.500000,1871.099976,11108.500000,1281,27526650,
73,13446.799805,2380.699951,1853.500000,11248.900391,1280,27424058,
74,13432.299805,2301.000000,1831.800049,11314.400391,1294,27461898,
75,13531.200195,2274.199951,1789.099976,11431.000000,1288,27438346,
76,13308.599609,2263.100098,1766.300049,11232.000000,1298,27555738,
77,13404.099609,2216.899902,1705.199951,11367.000000,1291,27322010,
78,13272.799805,2122.800049,1640.300049,11348.099609,1287,27277898,
79,12809.500000,2119.899902,1647.300049,10849.599609,1273,26929061,
80,12573.299805,2143.500000,1683.000000,10594.299805,1293,27008757,
81,12629.900391,2261.699951,1771.699951,10551.099609,1273,27037061,
82,12924.099609,2288.199951,1825.900024,10821.900391,1283,27216213,
83,13199.900391,2240.399902,1710.300049,11140.599609,1301,27378602,
84,13201.799805,2182.100098,1697.199951,11191.799805,1308,27393066,
85,13029.299805,2131.800049,1668.900024,11074.299805,1284,27357866,
86,12739.400391,2088.300049,1610.099976,10846.799805,1267,27342442,
