frameindex,frametime,cputime,culltime,gputime,draws,tris,
1531,15854.700195,3066.000000,2531.399902,12982.500000,2772,16903804,
1532,15869.799805,3431.399902,2893.699951,12625.200195,2758,17137937,
1533,15741.599609,3360.600098,2848.000000,12574.400391,2785,18860928,
1534,16059.700195,3156.000000,2663.100098,13092.099609,2786,18790512,
1535,15771.599609,3133.699951,2618.000000,12802.900391,2817,18867248,
1536,15773.900391,3242.500000,2766.199951,12707.799805,2823,20278410,
1537,15923.200195,3278.699951,2791.800049,12807.000000,2799,20532442,
1538,15810.799805,3242.300049,2712.899902,12749.500000,2798,20454874,
1539,15997.799805,3249.000000,2765.399902,12936.500000,2820,20856644,
1540,16115.900391,3420.000000,2950.199951,12879.599609,2832,20817412,
1541,15937.000000,3240.699951,2752.000000,12891.400391,2809,20723524,
1542,16054.799805,3356.500000,2846.800049,12885.599609,2807,20808644,
1543,15907.099609,3302.899902,2790.399902,12792.900391,2818,20751876,
1544,16063.599609,3314.000000,2812.500000,12943.000000,2805,20562756,
1545,16161.900391,3330.100098,2823.699951,13025.599609,2812,22109854,
1546,16170.299805,3367.199951,2876.100098,12985.900391,2802,23165283,
1547,16197.099609,3430.199951,2929.000000,12955.599609,2805,23164899,
1548,15959.099609,3318.600098,2780.199951,12825.200195,2802,23316707,
1549,16165.799805,3289.899902,2811.600098,13040.900391,2801,23225187,
1550,16078.200195,3239.300049,2740.100098,13024.299805,2803,23390264,
1551,16174.500000,3349.500000,2856.300049,13009.900391,2806,23524168,
1552,16180.799805,3256.600098,2754.300049,13101.400391,2807,23143347,
